"","Week","StationId","Hour","Weekday_bike_out","Weekend_bike_out"
"329","1",1013,"16",8,1
"330","1",1013,"17",11,4
"331","1",1013,"18",2,8
"332","1",1013,"19",1,6
"333","1",1013,"20",0,0
"334","1",1013,"21",0,0
"335","1",1013,"22",0,0
"336","1",1013,"23",0,0
"337","1",1014,"0",0,0
"338","1",1014,"1",0,0
"339","1",1014,"2",0,0
"340","1",1014,"3",0,0
"341","1",1014,"4",0,0
"342","1",1014,"5",0,0
"343","1",1014,"6",0,0
"344","1",1014,"7",0,0
"345","1",1014,"8",2,0
"346","1",1014,"9",0,0
"347","1",1014,"10",0,1
"348","1",1014,"11",2,2
"349","1",1014,"12",4,0
"350","1",1014,"13",1,0
"351","1",1014,"14",1,0
"352","1",1014,"15",1,1
"353","1",1014,"16",10,0
"354","1",1014,"17",2,2
"355","1",1014,"18",0,0
"356","1",1014,"19",3,0
"357","1",1014,"20",1,0
"358","1",1014,"21",0,0
"359","1",1014,"22",0,0
"360","1",1014,"23",0,0
"361","1",1015,"0",0,0
"362","1",1015,"1",0,0
"363","1",1015,"2",2,0
"364","1",1015,"3",0,0
"365","1",1015,"4",0,0
"366","1",1015,"5",0,0
"367","1",1015,"6",0,0
"368","1",1015,"7",1,0
"369","1",1015,"8",1,1
"370","1",1015,"9",3,1
"371","1",1015,"10",6,1
"372","1",1015,"11",5,2
"373","1",1015,"12",3,1
"374","1",1015,"13",2,0
"375","1",1015,"14",5,0
"376","1",1015,"15",4,0
"377","1",1015,"16",3,2
"378","1",1015,"17",0,3
"379","1",1015,"18",2,0
"380","1",1015,"19",7,1
"381","1",1015,"20",1,0
"382","1",1015,"21",1,3
"383","1",1015,"22",0,1
"384","1",1015,"23",0,0
"385","1",1016,"0",0,0
"386","1",1016,"1",0,0
"387","1",1016,"2",0,0
"388","1",1016,"3",0,0
"389","1",1016,"4",0,0
"390","1",1016,"5",1,0
"391","1",1016,"6",0,0
"392","1",1016,"7",0,0
"393","1",1016,"8",0,1
"394","1",1016,"9",1,0
"395","1",1016,"10",4,4
"396","1",1016,"11",0,1
"397","1",1016,"12",0,3
"398","1",1016,"13",6,10
"399","1",1016,"14",14,12
"400","1",1016,"15",2,2
"401","1",1016,"16",5,2
"402","1",1016,"17",3,0
"403","1",1016,"18",9,0
"404","1",1016,"19",2,1
"405","1",1016,"20",3,0
"406","1",1016,"21",0,0
"407","1",1016,"22",0,0
"408","1",1016,"23",0,2
"409","1",1017,"0",0,0
"410","1",1017,"1",0,0
"411","1",1017,"2",0,0
"412","1",1017,"3",0,0
"413","1",1017,"4",0,0
"414","1",1017,"5",0,0
"415","1",1017,"6",0,0
"416","1",1017,"7",1,0
"417","1",1017,"8",3,0
"418","1",1017,"9",4,1
"419","1",1017,"10",5,3
"420","1",1017,"11",1,1
"421","1",1017,"12",2,15
"422","1",1017,"13",14,6
"423","1",1017,"14",5,14
"424","1",1017,"15",4,2
"425","1",1017,"16",4,1
"426","1",1017,"17",2,2
"427","1",1017,"18",0,0
"428","1",1017,"19",3,3
"429","1",1017,"20",2,1
"430","1",1017,"21",1,0
"431","1",1017,"22",0,2
"432","1",1017,"23",0,0
"433","1",1018,"0",0,0
"434","1",1018,"1",0,0
"435","1",1018,"2",0,0
"436","1",1018,"3",0,0
"437","1",1018,"4",0,0
"438","1",1018,"5",0,0
"439","1",1018,"6",0,0
"440","1",1018,"7",1,0
"441","1",1018,"8",4,0
"442","1",1018,"9",0,0
"443","1",1018,"10",2,0
"444","1",1018,"11",0,1
"445","1",1018,"12",3,2
"446","1",1018,"13",3,4
"447","1",1018,"14",2,1
"448","1",1018,"15",0,4
"449","1",1018,"16",0,4
"450","1",1018,"17",0,0
"451","1",1018,"18",3,0
"452","1",1018,"19",6,2
"453","1",1018,"20",3,7
"454","1",1018,"21",0,0
"455","1",1018,"22",0,0
"456","1",1018,"23",0,0
"457","1",1019,"0",0,0
"458","1",1019,"1",0,0
"459","1",1019,"2",0,0
"460","1",1019,"3",0,0
"461","1",1019,"4",0,0
"462","1",1019,"5",0,0
"463","1",1019,"6",0,0
"464","1",1019,"7",4,0
"465","1",1019,"8",0,0
"466","1",1019,"9",1,0
"467","1",1019,"10",1,0
"468","1",1019,"11",0,3
"469","1",1019,"12",1,1
"470","1",1019,"13",1,1
"471","1",1019,"14",4,6
"472","1",1019,"15",1,7
"473","1",1019,"16",2,0
"474","1",1019,"17",2,0
"475","1",1019,"18",2,0
"476","1",1019,"19",9,2
"477","1",1019,"20",5,2
"478","1",1019,"21",0,1
"479","1",1019,"22",1,0
"480","1",1019,"23",0,1
"481","1",1020,"0",0,0
"482","1",1020,"1",0,0
"483","1",1020,"2",0,0
"484","1",1020,"3",0,0
"485","1",1020,"4",0,0
"486","1",1020,"5",0,1
"487","1",1020,"6",0,0
"488","1",1020,"7",0,0
"489","1",1020,"8",5,0
"490","1",1020,"9",0,0
"491","1",1020,"10",1,2
"492","1",1020,"11",2,0
"493","1",1020,"12",4,0
"494","1",1020,"13",2,0
"495","1",1020,"14",2,0
"496","1",1020,"15",2,0
"497","1",1020,"16",0,0
"498","1",1020,"17",1,0
"499","1",1020,"18",0,0
"500","1",1020,"19",2,0
"501","1",1020,"20",0,1
"502","1",1020,"21",2,0
"503","1",1020,"22",0,0
"504","1",1020,"23",0,0
"505","1",1021,"0",0,0
"506","1",1021,"1",0,0
"507","1",1021,"2",0,0
"508","1",1021,"3",0,0
"509","1",1021,"4",0,0
"510","1",1021,"5",0,0
"511","1",1021,"6",0,0
"512","1",1021,"7",4,0
"513","1",1021,"8",1,0
"514","1",1021,"9",5,0
"515","1",1021,"10",4,0
"516","1",1021,"11",0,2
"517","1",1021,"12",6,0
"518","1",1021,"13",0,0
"519","1",1021,"14",0,0
"520","1",1021,"15",1,0
"521","1",1021,"16",0,0
"522","1",1021,"17",1,0
"523","1",1021,"18",0,0
"524","1",1021,"19",1,0
"525","1",1021,"20",0,0
"526","1",1021,"21",0,0
"527","1",1021,"22",0,0
"528","1",1021,"23",1,0
"529","1",1022,"0",0,0
"530","1",1022,"1",0,0
"531","1",1022,"2",1,0
"532","1",1022,"3",0,0
"533","1",1022,"4",0,0
"534","1",1022,"5",0,0
"535","1",1022,"6",1,0
"536","1",1022,"7",0,0
"537","1",1022,"8",1,0
"538","1",1022,"9",0,0
"539","1",1022,"10",1,0
"540","1",1022,"11",1,1
"541","1",1022,"12",0,0
"542","1",1022,"13",0,0
"543","1",1022,"14",1,0
"544","1",1022,"15",3,0
"545","1",1022,"16",0,0
"546","1",1022,"17",2,0
"547","1",1022,"18",1,0
"548","1",1022,"19",2,0
"549","1",1022,"20",0,1
"550","1",1022,"21",0,0
"551","1",1022,"22",0,1
"552","1",1022,"23",0,0
"553","1",1023,"0",0,0
"554","1",1023,"1",0,0
"555","1",1023,"2",0,0
"556","1",1023,"3",0,0
"557","1",1023,"4",0,0
"558","1",1023,"5",0,0
"559","1",1023,"6",0,0
"560","1",1023,"7",2,0
"561","1",1023,"8",2,0
"562","1",1023,"9",6,0
"563","1",1023,"10",1,0
"564","1",1023,"11",0,3
"565","1",1023,"12",2,0
"566","1",1023,"13",0,0
"567","1",1023,"14",2,0
"568","1",1023,"15",0,3
"569","1",1023,"16",0,0
"570","1",1023,"17",2,0
"571","1",1023,"18",3,0
"572","1",1023,"19",3,0
"573","1",1023,"20",2,2
"574","1",1023,"21",1,0
"575","1",1023,"22",1,0
"576","1",1023,"23",0,0
