"","Week","StationId","WeatherRank","Bike_out","Customer","Daily","Subscriber","Unknown"
"314","2",1028,"1",4.83333333333333,2.16666666666667,0,2,0.666666666666667
"315","2",1028,"2",0,0,0,0,0
"316","2",1028,"3",0,0,0,0,0
"317","2",1029,"0",8,4,0,2,2
"318","2",1029,"1",3.66666666666667,2.33333333333333,0,1.16666666666667,0.166666666666667
"319","2",1029,"2",0,0,0,0,0
"320","2",1029,"3",0,0,0,0,0
"321","2",1030,"0",1,1,0,0,0
"322","2",1030,"1",3.33333333333333,2.16666666666667,0,1.16666666666667,0
"323","2",1030,"2",0,0,0,0,0
"324","2",1030,"3",0,0,0,0,0
"325","2",1031,"0",12,10,0,2,0
"326","2",1031,"1",4,2.83333333333333,0,0.833333333333333,0.333333333333333
"327","2",1031,"2",0,0,0,0,0
"328","2",1031,"3",0,0,0,0,0
"329","2",1032,"0",14,13,0,1,0
"330","2",1032,"1",5,2.66666666666667,0,2.33333333333333,0
"331","2",1032,"2",0,0,0,0,0
"332","2",1032,"3",0,0,0,0,0
"333","2",1033,"0",18,14,0,4,0
"334","2",1033,"1",11.1666666666667,5.83333333333333,0,5.16666666666667,0.166666666666667
"335","2",1033,"2",0,0,0,0,0
"336","2",1033,"3",0,0,0,0,0
"337","2",1034,"0",12,9,0,3,0
"338","2",1034,"1",5,2.5,0,2.5,0
"339","2",1034,"2",0,0,0,0,0
"340","2",1034,"3",0,0,0,0,0
"341","2",1035,"0",8,7,0,0,1
"342","2",1035,"1",5.83333333333333,2.66666666666667,0,2.66666666666667,0.5
"343","2",1035,"2",0,0,0,0,0
"344","2",1035,"3",0,0,0,0,0
"345","2",1036,"0",10,0,0,0,10
"346","2",1036,"1",11.8333333333333,0,0,0,11.8333333333333
"347","2",1036,"2",0,0,0,0,0
"348","2",1036,"3",0,0,0,0,0
"349","2",1037,"0",0,0,0,0,0
"350","2",1037,"1",0,0,0,0,0
"351","2",1037,"2",0,0,0,0,0
"352","2",1037,"3",0,0,0,0,0
"353","2",1038,"0",4,3,0,1,0
"354","2",1038,"1",3.66666666666667,1.66666666666667,0,1.33333333333333,0.666666666666667
