"","Quarter","Week","Hour","Weekday_bike_out","Weekend_bike_out"
"218","3","10","1",0.0427692307692308,0.123846153846154
"219","3","10","2",0.0255384615384615,0.0676923076923077
"220","3","10","3",0.00830769230769231,0.0330769230769231
"221","3","10","4",0.00861538461538462,0.0176923076923077
"222","3","10","5",0.0510769230769231,0.0184615384615385
"223","3","10","6",0.0741538461538462,0.0553846153846154
"224","3","10","7",0.291692307692308,0.153076923076923
"225","3","10","8",0.427692307692308,0.256153846153846
"226","3","10","9",0.316923076923077,0.466153846153846
"227","3","10","10",0.313846153846154,0.761538461538462
"228","3","10","11",0.415692307692308,0.951538461538462
"229","3","10","12",0.542769230769231,0.993846153846154
"230","3","10","13",0.482461538461538,1.03846153846154
"231","3","10","14",0.452923076923077,1.07153846153846
"232","3","10","15",0.478153846153846,0.960769230769231
"233","3","10","16",0.604,0.909230769230769
"234","3","10","17",0.854153846153846,0.722307692307692
"235","3","10","18",0.733846153846154,0.67
"236","3","10","19",0.586153846153846,0.569230769230769
"237","3","10","20",0.417538461538462,0.376923076923077
"238","3","10","21",0.266461538461538,0.250769230769231
"239","3","10","22",0.203692307692308,0.246153846153846
"240","3","10","23",0.124307692307692,0.143076923076923
"241","3","11","0",0.0766153846153846,0.178461538461538
"242","3","11","1",0.0427692307692308,0.123846153846154
"243","3","11","2",0.0255384615384615,0.0676923076923077
"244","3","11","3",0.00830769230769231,0.0330769230769231
"245","3","11","4",0.00861538461538462,0.0176923076923077
"246","3","11","5",0.0510769230769231,0.0184615384615385
"247","3","11","6",0.0741538461538462,0.0553846153846154
"248","3","11","7",0.291692307692308,0.153076923076923
"249","3","11","8",0.427692307692308,0.256153846153846
"250","3","11","9",0.316923076923077,0.466153846153846
"251","3","11","10",0.313846153846154,0.761538461538462
"252","3","11","11",0.415692307692308,0.951538461538462
"253","3","11","12",0.542769230769231,0.993846153846154
"254","3","11","13",0.482461538461538,1.03846153846154
"255","3","11","14",0.452923076923077,1.07153846153846
"256","3","11","15",0.478153846153846,0.960769230769231
"257","3","11","16",0.604,0.909230769230769
"258","3","11","17",0.854153846153846,0.722307692307692
"259","3","11","18",0.733846153846154,0.67
"260","3","11","19",0.586153846153846,0.569230769230769
"261","3","11","20",0.417538461538462,0.376923076923077
"262","3","11","21",0.266461538461538,0.250769230769231
"263","3","11","22",0.203692307692308,0.246153846153846
"264","3","11","23",0.124307692307692,0.143076923076923
"265","3","12","0",0.0766153846153846,0.178461538461538
"266","3","12","1",0.0427692307692308,0.123846153846154
"267","3","12","2",0.0255384615384615,0.0676923076923077
"268","3","12","3",0.00830769230769231,0.0330769230769231
"269","3","12","4",0.00861538461538462,0.0176923076923077
"270","3","12","5",0.0510769230769231,0.0184615384615385
"271","3","12","6",0.0741538461538462,0.0553846153846154
"272","3","12","7",0.291692307692308,0.153076923076923
"273","3","12","8",0.427692307692308,0.256153846153846
